2019-01-24 09:05:24 
2019-06-18 23:13:40 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/images/package.png
2019-06-18 23:13:40 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/language/en-GB/en-GB.addon_jshopping_onestepcheckout.ini
2019-06-18 23:13:40 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/language/ru-RU/ru-RU.addon_jshopping_onestepcheckout.ini
2019-06-18 23:13:40 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/language/uk-UA/uk-UA.addon_jshopping_onestepcheckout.ini
2019-06-18 23:18:18 
Start install: /tmp/addon_default2cart-41.zip IP:94.233.21.206 UID:142
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/adress.php
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/checkout.php
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/config.php
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/config.xml
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/finish.php
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/main.js.php
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/main.php
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/payments.php
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/previewfinish.php
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/shippings.php
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/css/style.css
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/css/uikit.css
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/fonts/FontAwesome.otf
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/fonts/fontawesome-webfont.eot
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/fonts/fontawesome-webfont.ttf
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/fonts/fontawesome-webfont.woff
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/images/overlay.gif
2019-06-18 23:18:18 Copy file: /components/com_jshopping/templates/addons/onestepcheckout/default2cart/images/package.png
